Location	Experiment type	File	Day	Sample	Day_sample	Patient	Repeat			
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_IL2CpG_PBMC_Unstained.fcs	Control				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_Full_Stain_1.fcs	Control				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_Full_Stain_2.fcs	Control				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_Full_Stain_3.fcs	Control				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_Unstained.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/15Feb24_Compensation_Controls/Compensation_Controls_355_397-28_Stained_Control.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/15Feb24_Compensation_Controls/Compensation_Controls_405_450-50_Stained_Control.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/15Feb24_Compensation_Controls/Compensation_Controls_405_610-20_Stained_Control.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/15Feb24_Compensation_Controls/Compensation_Controls_405_710-50_Stained_Control.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/15Feb24_Compensation_Controls/Compensation_Controls_488_530-30_Stained_Control.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/15Feb24_Compensation_Controls/Compensation_Controls_488_710-50_Stained_Control.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/15Feb24_Compensation_Controls/Compensation_Controls_561_586-16_Stained_Control.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/15Feb24_Compensation_Controls/Compensation_Controls_561_610-20_Stained_Control.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/15Feb24_Compensation_Controls/Compensation_Controls_561_780-60_Stained_Control.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/15Feb24_Compensation_Controls/Compensation_Controls_640_670-30_Stained_Control.fcs	Control				_					
