Gate	x	y
Lymph1	71947.40328	191477.4105
Lymph1	28404.74636	74955.47653
Lymph1	18359.71402	33816.55896
Lymph1	24244.59016	-934.3853697
Lymph1	132144.4582	-601.7882819
Lymph1	261369.5888	52061.01808
Lymph1	256155.2192	213479.0972
Lymph1	208849.9954	249919.1643
Lymph1	107449.0714	256139.0299
SSC-A_SSC-H	4207.161724	7035.184245
SSC-A_SSC-H	113969.4615	109424.6802
SSC-A_SSC-H	158610.8914	137857.9112
SSC-A_SSC-H	173161.2415	136068.4102
SSC-A_SSC-H	10897.14507	5580.919834
Live/dead	0.686501086	1728.394156
Live/dead	500.8061647	2704.197305
Live/dead	2203.901657	98021.21833
Live/dead	3887.576051	208311.5595
Live/dead	633.6843931	255163.4884
Live/dead	0.68650109	248321.498
Live/dead1	0.635154757	0
Live/dead1	593.7579248	0
Live/dead1	1997.97698	65413.22921
Live/dead1	6041.603847	192885.0177
Live/dead1	2019.788698	249294.3801
Live/dead1	94.57272885	251592.1772
Live/dead1	0.635154757	120265.3957
Live/dead4	28475.55864	252193.504
Live/dead4	8988.981502	103247.0598
Live/dead4	5625.711227	66834.84722
Live/dead4	2769.254761	37162.36077
Live/dead4	592.1630134	1893.488362
Live/dead4	0.652771093	-1721.749579
Live/dead4	0.689129635	250148.3519
Live/dead2	64685.69755	242247.4816
Live/dead2	20937.47091	134092.8249
Live/dead2	6906.854393	55915.64549
Live/dead2	2636.195516	26681.43123
Live/dead2	743.150334	-720.8974352
Live/dead2	0.752549328	-1763.939644
Live/dead2	0.69075295	229435.2953
Live/dead3	22946.90615	249672.9329
Live/dead3	9267.586951	111006.3697
Live/dead3	4380.468795	43660.91738
Live/dead3	1205.583883	-242.7867089
Live/dead3	0.647152334	-3629.4896
Live/dead3	0.795983522	250398.4226
